ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2025-08-18 17:00:00,88.29949756560168,-64.19495748288674,96.28866607994509,78.45798039898015,98.99069741981499,-73.5508416922642,-73.5508416922642,-73.5508416922642,-27.746257827960772,-27.746257827960772,-27.746257827960772,-1.448048769184817,-1.448048769184817,-1.448048769184817,-44.35653509511861,-44.35653509511861,-44.35653509511861,0.0,0.0,0.0,14.748655873337484
2025-08-18 18:00:00,88.29396750553428,-70.40101794260674,98.64686078145532,78.45181134760999,98.98619945872585,-75.48954563182377,-75.48954563182377,-75.48954563182377,-30.198330000040087,-30.198330000040087,-30.198330000040087,-1.0751972244010597,-1.0751972244010597,-1.0751972244010597,-44.21601840738262,-44.21601840738262,-44.21601840738262,0.0,0.0,0.0,12.80442187371051
2025-08-18 19:00:00,88.28843744546688,-57.964031112848794,100.94257604229138,78.44564229623985,98.9817014976367,-69.42180261618125,-69.42180261618125,-69.42180261618125,-24.618786695704532,-24.618786695704532,-24.618786695704532,-0.7268017244677861,-0.7268017244677861,-0.7268017244677861,-44.076214196008934,-44.076214196008934,-44.076214196008934,0.0,0.0,0.0,18.86663482928563
2025-08-18 20:00:00,88.28290738539948,-48.15519836642792,112.43959001304728,78.4394732448697,98.97720353654755,-54.708489566473276,-54.708489566473276,-54.708489566473276,-10.366207673113815,-10.366207673113815,-10.366207673113815,-0.40515536905886024,-0.40515536905886024,-0.40515536905886024,-43.937126524300595,-43.937126524300595,-43.937126524300595,0.0,0.0,0.0,33.57441781892621
2025-08-18 21:00:00,88.27737732533211,-27.82531255490922,128.9547564911533,78.43330419349958,98.97270557545845,-36.34874425413488,-36.34874425413488,-36.34874425413488,7.562179482734972,7.562179482734972,7.562179482734972,-0.11216430818445895,-0.11216430818445895,-0.11216430818445895,-43.798759428685386,-43.798759428685386,-43.798759428685386,0.0,0.0,0.0,51.92863307119723
2025-08-18 22:00:00,88.27184726526471,-15.97224305647115,143.95747538694175,78.42713514212943,98.9682076143693,-21.856469427513158,-21.856469427513158,-21.856469427513158,21.653980855208392,21.653980855208392,21.653980855208392,0.15066663577938946,0.15066663577938946,0.15066663577938946,-43.661116918500944,-43.661116918500944,-43.661116918500944,0.0,0.0,0.0,66.41537783775155
2025-08-18 23:00:00,88.26631720519731,-10.586764826257133,153.6008742723965,78.42096609075928,98.96370965328018,-15.955707257776195,-15.955707257776195,-15.955707257776195,27.18625244160109,27.18625244160109,27.18625244160109,0.38224327640122,0.38224327640122,0.38224327640122,-43.524202975778515,-43.524202975778515,-43.524202975778515,0.0,0.0,0.0,72.31060994742111
2025-08-19 00:00:00,88.26078714512991,-12.473715023477599,146.9047400391977,78.41479703938914,98.95921169219102,-17.739435319456753,-17.739435319456753,-17.739435319456753,25.066699999948966,25.066699999948966,25.066699999948966,0.5818862356624281,0.5818862356624281,0.5818862356624281,-43.38802155506814,-43.38802155506814,-43.38802155506814,0.0,0.0,0.0,70.52135182567315
2025-08-19 01:00:00,88.25525708506254,-16.91405996038359,149.66956474887965,78.40862798801902,98.95471373110192,-22.588052685817978,-22.588052685817978,-22.588052685817978,19.915193920348337,19.915193920348337,19.915193920348337,0.7493299770139443,0.7493299770139443,0.7493299770139443,-43.25257658318026,-43.25257658318026,-43.25257658318026,0.0,0.0,0.0,65.66720439924455
2025-08-19 02:00:00,88.24972702499514,-19.164444887661798,145.1924238657928,78.40245893664887,98.95021577001278,-26.697010530669814,-26.697010530669814,-26.697010530669814,15.536144667469006,15.536144667469006,15.536144667469006,0.8847167608695421,0.8847167608695421,0.8847167608695421,-43.11787195900836,-43.11787195900836,-43.11787195900836,0.0,0.0,0.0,61.552716494325324
